subject,task_type,octave,ioi,subj_accuracy,subj_perc_resp_early,accuracy,perc_resp_early,subj_hit_rate,subj_fa_rate,hit_rate,fa_rate,subj_dprime,subj_C,dprime,C
2,0,3,400,0.7048611111111112,0.5659722222222222,0.6875,0.5625,0.6379310344827587,0.23103448275862068,0.62,0.26,1.0883782616823632,0.19125514471426497,0.9488261934923143,0.1689323086467598
2,0,3,600,0.7048611111111112,0.5659722222222222,0.6458333333333334,0.4791666666666667,0.6379310344827587,0.23103448275862068,0.66,0.38,1.0883782616823632,0.19125514471426497,0.7179439175408023,-0.053491170671003785
2,0,5,400,0.7048611111111112,0.5659722222222222,0.6875,0.6458333333333334,0.6379310344827587,0.23103448275862068,0.54,0.18,1.0883782616823632,0.19125514471426497,1.015798808354284,0.40746568366567204
2,0,5,600,0.7048611111111112,0.5659722222222222,0.7916666666666666,0.5833333333333334,0.6379310344827587,0.23103448275862068,0.7,0.14,1.0883782616823632,0.19125514471426497,1.6047198535229965,0.2779594140534576
2,0,7,400,0.7048611111111112,0.5659722222222222,0.6458333333333334,0.6458333333333334,0.6379310344827587,0.23103448275862068,0.5,0.22,1.0883782616823632,0.19125514471426497,0.7721932141886848,0.3860966070943424
2,0,7,600,0.7048611111111112,0.5659722222222222,0.7708333333333334,0.4791666666666667,0.6379310344827587,0.23103448275862068,0.78,0.26,1.0883782616823632,0.19125514471426497,1.4155386195816018,-0.06442390439788392
3,1,3,400,0.5277777777777778,0.5625,0.5416666666666666,0.5416666666666666,0.46551724137931033,0.4103448275862069,0.5,0.42,0.14011467465279337,0.15660070524141267,0.20189347914185088,0.10094673957092544
3,1,3,600,0.5277777777777778,0.5625,0.5416666666666666,0.4166666666666667,0.46551724137931033,0.4103448275862069,0.62,0.54,0.14011467465279337,0.15660070524141267,0.2050470675879275,-0.20295725430543363
3,1,5,400,0.5277777777777778,0.5625,0.4583333333333333,0.625,0.46551724137931033,0.4103448275862069,0.34,0.42,0.14011467465279337,0.15660070524141267,-0.21056965029955385,0.3071783042916278
3,1,5,600,0.5277777777777778,0.5625,0.5416666666666666,0.5416666666666666,0.46551724137931033,0.4103448275862069,0.5,0.42,0.14011467465279337,0.15660070524141267,0.20189347914185088,0.10094673957092544
3,1,7,400,0.5277777777777778,0.5625,0.5625,0.5625,0.46551724137931033,0.4103448275862069,0.5,0.38,0.14011467465279337,0.15660070524141267,0.3054807880993974,0.1527403940496987
3,1,7,600,0.5277777777777778,0.5625,0.5208333333333334,0.6875,0.46551724137931033,0.4103448275862069,0.34,0.3,0.14011467465279337,0.15660070524141267,0.11193738326663616,0.4684318210747228
4,0,3,400,0.8020833333333334,0.5659722222222222,0.875,0.5416666666666666,0.7344827586206897,0.13448275862068965,0.82,0.1,1.7318756373050457,0.2395101754358419,2.1969166533874143,0.1830932388508933
4,0,3,600,0.8020833333333334,0.5659722222222222,0.7708333333333334,0.6041666666666666,0.7344827586206897,0.13448275862068965,0.66,0.14,1.7318756373050457,0.2395101754358419,1.4927824702563608,0.33392810568677544
4,0,5,400,0.8020833333333334,0.5659722222222222,0.7291666666666666,0.6041666666666666,0.7344827586206897,0.13448275862068965,0.62,0.18,1.7318756373050457,0.2395101754358419,1.2208458759422114,0.3049421498717083
4,0,5,600,0.8020833333333334,0.5659722222222222,0.7708333333333334,0.5208333333333334,0.7344827586206897,0.13448275862068965,0.74,0.22,1.7318756373050457,0.2395101754358419,1.4155386195816018,0.06442390439788392
4,0,7,400,0.8020833333333334,0.5659722222222222,0.8125,0.6458333333333334,0.7344827586206897,0.13448275862068965,0.66,0.06,1.7318756373050457,0.2395101754358419,1.9672367240382584,0.5711552325777243
4,0,7,600,0.8020833333333334,0.5659722222222222,0.8541666666666666,0.4791666666666667,0.7344827586206897,0.13448275862068965,0.86,0.18,1.7318756373050457,0.2395101754358419,1.99568442865777,-0.08247712648607092
5,1,3,400,0.5694444444444444,0.8263888888888888,0.5,0.9166666666666666,0.24482758620689654,0.10689655172413794,0.1,0.1,0.5523454415840813,0.9670301001985808,0.0,1.2815515655446004
5,1,3,600,0.5694444444444444,0.8263888888888888,0.625,0.75,0.24482758620689654,0.10689655172413794,0.38,0.14,0.5523454415840813,0.9670301001985808,0.7748385527155585,0.6929000644571766
5,1,5,400,0.5694444444444444,0.8263888888888888,0.5208333333333334,0.8958333333333334,0.24482758620689654,0.10689655172413794,0.14,0.1,0.5523454415840813,0.9670301001985808,0.20123222472964453,1.180935453179778
5,1,5,600,0.5694444444444444,0.8263888888888888,0.6041666666666666,0.7291666666666666,0.24482758620689654,0.10689655172413794,0.38,0.18,0.5523454415840813,0.9670301001985808,0.6098842997434166,0.6104229379711057
5,1,7,400,0.5694444444444444,0.8263888888888888,0.5625,0.9375,0.24482758620689654,0.10689655172413794,0.14,0.02,0.5523454415840813,0.9670301001985808,0.9734295698168671,1.5670341257233895
5,1,7,600,0.5694444444444444,0.8263888888888888,0.6041666666666666,0.7291666666666666,0.24482758620689654,0.10689655172413794,0.38,0.18,0.5523454415840813,0.9670301001985808,0.6098842997434166,0.6104229379711057
6,1,3,400,0.8159722222222222,0.4201388888888889,0.8333333333333334,0.375,0.8931034482758621,0.2655172413793103,0.94,0.3,1.8696304642073023,-0.3083875888869702,2.0791741073048944,-0.5151865409444063
6,1,3,600,0.8159722222222222,0.4201388888888889,0.8333333333333334,0.375,0.8931034482758621,0.2655172413793103,0.94,0.3,1.8696304642073023,-0.3083875888869702,2.0791741073048944,-0.5151865409444063
